1	Plaza Vea                     	1	Buenos Aires                  	9693	9693 - P Vea Villa Urquiza.			N
1	Plaza Vea                     	1	Buenos Aires                  	9694	9694 - P Vea JB Justo.			N
1	Plaza Vea                     	1	Buenos Aires                  	9695	695 - P Vea Acoyte.	0.0	0.0	N
1	Plaza Vea                     	1	Buenos Aires                  	9699	699 - P Vea Rivadavia.	0.0	0.0	N
1	Plaza Vea                     	1	Buenos Aires                  	9889	889 - Plaza Vea Carpa de liqui			N
2	Disco                         	1	Buenos Aires                  	247	916 - SM 916 Gorostiaga	-34.565258999999998	-58.436582999999999	N
2	Disco                         	1	Buenos Aires                  	257	61 - Tortuguitas	-34.446043000000003	-58.745097999999999	N
2	Disco                         	1	Buenos Aires                  	285	953 - Venado Tuerto			N
2	Disco                         	1	Buenos Aires                  	740	740 - Canning	-34.853220999999998	-58.502246999999997	N
2	Disco                         	1	Buenos Aires                  	961	961 - Av. Santa F‚			N
2	Disco                         	1	Buenos Aires                  	1190	6190 - BT SAF (Importaciones).			S
2	Disco                         	1	Buenos Aires                  	1914	3914 - Interno SLL BsAs 217.			S
2	Disco                         	1	Buenos Aires                  	9001	1 - San Isidro.	-34.471530899999998	-58.515350099999999	N
2	Disco                         	1	Buenos Aires                  	9002	2 - Talcahuano.	-34.5962563	-58.385700900000003	N
2	Disco                         	1	Buenos Aires                  	9003	3 - Camacua.	-34.627893	-58.458295	N
2	Disco                         	1	Buenos Aires                  	9004	4 - Vicente L¢pez.	-34.520825000000002	-58.485332	N
2	Disco                         	1	Buenos Aires                  	9007	7 - Pte. Per¢n.	0.0	0.0	N
2	Disco                         	1	Buenos Aires                  	9009	9 - Lomas de Zamora.	-34.764091000000001	-58.398620999999999	N
2	Disco                         	1	Buenos Aires                  	9012	12 - Sucre.	-34.560842000000001	-58.449840999999999	N
2	Disco                         	1	Buenos Aires                  	9014	14 - Las Heras..	-34.581690999999999	-58.414434999999997	N
2	Disco                         	1	Buenos Aires                  	9015	15 - Salguero.	-34.580100999999999	-58.408191000000002	N
2	Disco                         	1	Buenos Aires                  	9016	16 - Paraguay.	-34.586089999999999	-58.422310000000003	N
2	Disco                         	1	Buenos Aires                  	9017	17 - Virrey del Pino.	-34.566744	-58.453445000000002	N
2	Disco                         	1	Buenos Aires                  	9018	18 - Quintana.	-34.589374999999997	-58.388536000000002	N
2	Disco                         	1	Buenos Aires                  	9022	22 - Santa Fe.	-34.590488000000001	-58.408383999999998	N
2	Disco                         	1	Buenos Aires                  	9023	23 - Alto Palermo.	-34.587060999999999	-58.410916	N
2	Disco                         	1	Buenos Aires                  	9025	25 - Rodr¡guez Pe¤a.	-34.593032000000001	-58.391347000000003	N
2	Disco                         	1	Buenos Aires                  	9026	26 - Av. Callao.	-34.608787	-58.392012000000001	N
2	Disco                         	1	Buenos Aires                  	9030	30 - Rivadavia.	-34.617351999999997	-58.434390999999998	N
2	Disco                         	1	Buenos Aires                  	9035	35 - Uriburu.	-34.593885	-58.397898099999999	N
2	Disco                         	1	Buenos Aires                  	9037	37 - Adrogu‚.	-34.798951000000002	-58.404243000000001	N
2	Disco                         	1	Buenos Aires                  	9038	38 - Arcos.	-34.561708000000003	-58.452373000000001	N
2	Disco                         	1	Buenos Aires                  	9039	39 - Pe¤a.	-34.585934600000002	-58.405187699999999	N
2	Disco                         	1	Buenos Aires                  	9042	42 - La Plata I.	-34.934654999999999	-57.975326000000003	N
2	Disco                         	1	Buenos Aires                  	9045	45 - Gesell Boulevard.	-37.259025000000001	-56.982672000000001	N
2	Disco                         	1	Buenos Aires                  	9046	46 - Esmeralda.	-34.591519300000002	-58.378118000000001	N
2	Disco                         	1	Buenos Aires                  	9048	48 - Gasc¢n.	-34.603434999999998	-58.424112999999998	N
2	Disco                         	1	Buenos Aires                  	9049	49 - Pinamar.	-37.108688999999998	-56.871028000000003	N
2	Disco                         	1	Buenos Aires                  	9050	50 - Gesell Central.	-37.263549500000003	-56.974520800000001	N
2	Disco                         	1	Buenos Aires                  	9054	54 - Elcano.	-34.572856999999999	-58.459282000000002	N
2	Disco                         	1	Buenos Aires                  	9055	55 - J. B. Justo..	-38.024498000000001	-57.563766999999999	N
2	Disco                         	1	Buenos Aires                  	9057	57 - San Luis.	-38.001616499999997	-57.5499759	N
2	Disco                         	1	Buenos Aires                  	9058	58 - Constituci¢n.	-37.960017999999998	-57.564475999999999	N
2	Disco                         	1	Buenos Aires                  	9059	59 - Alberti.	-37.998258999999997	-57.545420999999997	N
2	Disco                         	1	Buenos Aires                  	9062	62 - La Plata III.	-34.915543999999997	-57.942746	N
2	Disco                         	1	Buenos Aires                  	9107	107 - Na¢n.	-34.569783000000001	-58.470675999999997	N
2	Disco                         	1	Buenos Aires                  	9111	111 - City Bell.	-34.786031000000001	-58.252974000000002	N
2	Disco                         	1	Buenos Aires                  	9112	112 - Banfield.	-34.738191999999998	-58.408966999999997	N
2	Disco                         	1	Buenos Aires                  	9137	137 - Montevideo.	-34.596316999999999	-58.389805000000003	N
2	Disco                         	1	Buenos Aires                  	9151	151 - Mataderos.	-34.654767100000001	-58.506149999999998	N
2	Disco                         	1	Buenos Aires                  	9152	152 - Ramos Mej¡a.	-34.6417334	-58.571030700000001	N
2	Disco                         	1	Buenos Aires                  	9154	154 - Mor¢n II.	-34.6539	-58.620699999999999	N
2	Disco                         	1	Buenos Aires                  	9156	156 - Castelar Norte.	-34.649273000000001	-58.654032000000001	N
2	Disco                         	1	Buenos Aires                  	9161	161 - Moreno II.	-34.634366999999997	-58.791778000000001	N
2	Disco                         	1	Buenos Aires                  	9163	163 - Bella Vista.	-34.561453499999999	-58.680218099999998	N
2	Disco                         	1	Buenos Aires                  	9205	205 - Carniceria Central.	0.0	0.0	N
2	Disco                         	1	Buenos Aires                  	9217	217 - Centro Distribuci¢n Ezei	-34.807941999999997	-58.508361999999998	S
2	Disco                         	1	Buenos Aires                  	9231	231 - Rawson y Alvear.	-38.014727000000001	-57.539133999999997	N
2	Disco                         	1	Buenos Aires                  	9235	235 - La Horqueta.	-34.4657445	-58.574909499999997	N
2	Disco                         	1	Buenos Aires                  	9237	237 - Beir¢.	-34.600332799999997	-58.502862	N
2	Disco                         	1	Buenos Aires                  	9247	247 - Jos‚ Mar¡a Moreno.	-34.622461600000001	-58.4348107	N
2	Disco                         	1	Buenos Aires                  	9248	248 - San Bernardo.	-36.688037000000001	-56.683531000000002	N
2	Disco                         	1	Buenos Aires                  	9630	630 - Entre R¡os y Belgrano.	-34.613386900000002	-58.391730799999998	N
2	Disco                         	1	Buenos Aires                  	9639	639 - Pinocho VII.	0.0	0.0	N
2	Disco                         	1	Buenos Aires                  	9701	701 - Directorio.	-34.629587999999998	-58.445295000000002	N
2	Disco                         	1	Buenos Aires                  	9977	977 - SM 977 Cuba.	-34.564534999999999	-58.451563999999998	N
4	Vea                           	1	Buenos Aires                  	242	912 - Junin II	-34.583210000000001	-60.954189999999997	N
4	Vea                           	1	Buenos Aires                  	248	917 - Mataderos II			N
4	Vea                           	1	Buenos Aires                  	249	944 - Tapiales	-34.691167999999998	-58.498984999999998	N
4	Vea                           	1	Buenos Aires                  	250	168 - Lope de Vega			N
4	Vea                           	1	Buenos Aires                  	252	983 - Miramar	0.0	0.0	N
4	Vea                           	1	Buenos Aires                  	255	995 - Alvarez Jonte			N
4	Vea                           	1	Buenos Aires                  	263	8 - Chivilcoy	-34.891834199999998	-60.020600000000002	N
4	Vea                           	1	Buenos Aires                  	266	51 - NECOCHEA	-38.561925000000002	-58.729801999999999	N
4	Vea                           	1	Buenos Aires                  	270	150 - Padua	-34.665726999999997	-58.696967000000001	N
4	Vea                           	1	Buenos Aires                  	277	52 - SAN CLEMENTE	-36.360308000000003	-56.722051	N
4	Vea                           	1	Buenos Aires                  	430	430 - Funes	-32.946868000000002	-60.636206000000001	N
